position,name,country
FW,Nestory Irankunda,AUS
GK,Patrick Beach,AUS
DF,Harry Souttar,AUS
FW,Cristian Volpato,AUS
DF,Cameron Burgess,AUS
MF,Jackson Irvine,AUS
FW,Nishan Velupillay,AUS
MF,Paul Okon-Engstler,AUS
DF,Lucas Herrington,AUS
FW,Tete Yengi,AUS
GK,Gatito Fernández,PAR
DF,Gustavo Velázquez,PAR
DF,Omar Alderete,PAR
DF,Juan José Cáceres,PAR
DF,Fabián Balbuena,PAR
DF,Júnior Alonso,PAR
MF,Ramón Sosa,PAR
MF,Diego Gómez,PAR
FW,Antonio Sanabria,PAR
MF,Miguel Almirón,PAR
MF,Maurício,PAR
GK,Orlando Gill,PAR
DF,José Canale,PAR
MF,Andrés Cubas,PAR
DF,Gustavo Gómez,PAR
MF,Damián Bobadilla,PAR
FW,Kaku,PAR
FW,Álex Arce,PAR
FW,Julio Enciso,PAR
MF,Braian Ojeda,PAR
FW,Gabriel Ávalos,PAR
GK,Gastón Olveira,PAR
MF,Matías Galarza,PAR
MF,Gustavo Caballero,PAR
FW,Isidro Pitta,PAR
DF,Alexandro Maidana,PAR
GK,Mert Günok,TUR
DF,Zeki Çelik,TUR
DF,Merih Demiral,TUR
DF,Çağlar Söyüncü,TUR
MF,Salih Özcan,TUR
MF,Orkun Kökçü,TUR
FW,Kerem Aktürkoğlu,TUR
FW,Arda Güler,TUR
FW,Deniz Gül,TUR
MF,Hakan Çalhanoğlu,TUR
FW,Kenan Yıldız,TUR
GK,Altay Bayındır,TUR
DF,Eren Elmalı,TUR
DF,Abdülkerim Bardakcı,TUR
DF,Ozan Kabak,TUR
MF,İsmail Yüksek,TUR
FW,İrfan Can Kahveci,TUR
DF,Mert Müldür,TUR
FW,Yunus Akgün,TUR
DF,Ferdi Kadıoğlu,TUR
FW,Barış Alper Yılmaz,TUR
MF,Kaan Ayhan,TUR
GK,Uğurcan Çakır,TUR
FW,Oğuz Aydın,TUR
DF,Samet Akaydin,TUR
FW,Can Uzun,TUR
GK,Matt Turner,USA
DF,Sergiño Dest,USA
DF,Chris Richards,USA
MF,Tyler Adams,USA
DF,Antonee Robinson,USA
DF,Auston Trusty,USA
MF,Giovanni Reyna,USA
MF,Weston McKennie,USA
FW,Ricardo Pepi,USA
FW,Christian Pulisic,USA
FW,Brenden Aaronson,USA
DF,Miles Robinson,USA
DF,Tim Ream,USA
MF,Sebastian Berhalter,USA
MF,Cristian Roldan,USA
DF,Alex Freeman,USA
MF,Malik Tillman,USA
DF,Maximilian Arfsten,USA
FW,Haji Wright,USA
FW,Folarin Balogun,USA
FW,Timothy Weah,USA
DF,Mark McKenzie,USA
DF,Joe Scally,USA
GK,Matt Freese,USA
GK,Chris Brady,USA
FW,Alejandro Zendejas,USA
GK,Eloy Room,CUW
DF,Shurandy Sambo,CUW
DF,Juriën Gaari,CUW
DF,Roshon van Eijma,CUW
DF,Sherel Floranus,CUW
MF,Godfried Roemeratoe,CUW
MF,Juninho Bacuna,CUW
MF,Livano Comenencia,CUW
FW,Jürgen Locadia,CUW
MF,Leandro Bacuna,CUW
FW,Jeremy Antonisse,CUW
FW,Sontje Hansen,CUW
FW,Tyrese Noslin,CUW
FW,Kenji Gorré,CUW
MF,Ar'jany Martha,CUW
FW,Jearl Margaritha,CUW
FW,Brandley Kuwas,CUW
DF,Armando Obispo,CUW
FW,Gervane Kastaneer,CUW
DF,Joshua Brenet,CUW
MF,Tahith Chong,CUW
MF,Kevin Felida,CUW
DF,Riechedly Bazoer,CUW
DF,Deveron Fonville,CUW
GK,Tyrick Bodak,CUW
GK,Trevor Doornbusch,CUW
GK,Hernán Galíndez,ECU
DF,Félix Torres,ECU
DF,Piero Hincapié,ECU
DF,Joel Ordóñez,ECU
MF,Jordy Alcívar,ECU
DF,Willian Pacho,ECU
DF,Pervis Estupiñán,ECU
MF,Anthony Valencia,ECU
FW,John Yeboah,ECU
MF,Kendry Páez,ECU
FW,Kevin Rodríguez,ECU
GK,Moisés Ramírez,ECU
FW,Enner Valencia,ECU
MF,Alan Minda,ECU
MF,Pedro Vite,ECU
FW,Jordy Caicedo,ECU
DF,Ángelo Preciado,ECU
MF,Denil Castillo,ECU
FW,Gonzalo Plata,ECU
FW,Nilson Angulo,ECU
MF,Alan Franco,ECU
GK,Gonzalo Valle,ECU
MF,Moisés Caicedo,ECU
FW,Jeremy Arévalo,ECU
DF,Jackson Porozo,ECU
DF,Yaimar Medina,ECU
GK,Manuel Neuer,GER
DF,Antonio Rüdiger,GER
DF,Waldemar Anton,GER
DF,Jonathan Tah,GER
MF,Aleksandar Pavlović,GER
DF,Joshua Kimmich,GER
FW,Kai Havertz,GER
MF,Leon Goretzka,GER
MF,Jamie Leweling,GER
MF,Jamal Musiala,GER
FW,Nick Woltemade,GER
GK,Oliver Baumann,GER
MF,Pascal Groß,GER
FW,Maximilian Beier,GER
DF,Nico Schlotterbeck,GER
MF,Angelo Stiller,GER
MF,Florian Wirtz,GER
DF,Nathaniel Brown,GER
MF,Leroy Sané,GER
MF,Nadiem Amiri,GER
GK,Alexander Nübel,GER
DF,David Raum,GER
MF,Felix Nmecha,GER
DF,Malick Thiaw,GER
MF,Lennart Karl,GER
FW,Deniz Undav,GER
GK,Yahia Fofana,CIV
DF,Ousmane Diomande,CIV
DF,Ghislain Konan,CIV
MF,Jean Michaël Seri,CIV
DF,Wilfried Singo,CIV
MF,Seko Fofana,CIV
DF,Odilon Kossounou,CIV
MF,Franck Kessié,CIV
FW,Ange-Yoan Bonny,CIV
FW,Simon Adingra,CIV
FW,Yan Diomande,CIV
FW,Elye Wahi,CIV
DF,Christopher Opéri,CIV
FW,Oumar Diakité,CIV
FW,Amad Diallo,CIV
GK,Mohamed Koné,CIV
DF,Guéla Doué,CIV
MF,Ibrahim Sangaré,CIV
FW,Nicolas Pépé,CIV
DF,Emmanuel Agbadou,CIV
DF,Evan Ndicka,CIV
FW,Evann Guessand,CIV
GK,Alban Lafont,CIV
FW,Bazoumana Touré,CIV
MF,Parfait Guiagon,CIV
MF,Christ Inao Oulaï,CIV
GK,Zion Suzuki,JPN
DF,Yukinari Sugawara,JPN
DF,Shōgo Taniguchi,JPN
DF,Kō Itakura,JPN
DF,Yūto Nagatomo,JPN
MF,Wataru Endo,JPN
MF,Ao Tanaka,JPN
MF,Takefusa Kubo,JPN
FW,Keisuke Gotō,JPN
MF,Ritsu Dōan,JPN
MF,Daizen Maeda,JPN
GK,Keisuke Ōsako,JPN
MF,Keito Nakamura,JPN
MF,Junya Itō,JPN
MF,Daichi Kamada,JPN
DF,Tsuyoshi Watanabe,JPN
MF,Yuito Suzuki,JPN
FW,Ayase Ueda,JPN
